nr	bf01	bf02	bf03	bf04	bf05	bf06	bf07	bf08	bf09	bf10	bf11	bf12	bf13	bf14	bf15	bf16	bf17	bf18	bf19	bf20	sex	alter	nation	schule
249	3	3	3	5	4	4	4	3	4	5	3	5	4	3	3	3	3	3	3	4	1	24	1	3
250	3	5	4	4	4	4	2	4	4	2	5	2	3	4	4	3	5	4	2	3	2	25	1	3
251	5	2	3	5	3	2	3	5	4	5	3	1	4	3	4	2	5	2	1	3	2	27	1	3
252	5	3	2	3	3	5	2	3	4	1	3	3	4	4	1	5	4	3	2	2	1	23	1	3
253	4	4	5	5	4	4	5	3	4	4	5	4	5	5	3	5	4	5	5	5	1	29	1	3
254	3	4	5	5	4	3	4	3	4	5	5	5	3	3	4	4	4	4	5	4	1	30	1	3
255	5	3	3	4	3	5	3	3	4	2	3	1	5	3	4	3	4	2	4	2	2	27	1	2
256	5	5	5	4	4	5	5	5	4	4	5	3	4	3	5	4	4	3	3	5	2	20	1	3
257	5	5	5	4	3	5	3	2	3	2	4	3	5	3	4	5	4	3	5	3	1	28	1	3
258	3	5	4	4	4	5	4	5	4	5	5	1	3	3	5	2	4	2	5	2	1	22	1	3
259	4	4	2	3	4	4	2	2	4	2	3	5	3	3	4	3	4	3	2	2	1	26	1	3
260	5	2	3	3	5	5	4	1	4	2	4	1	4	4	2	4	2	3	1	4	2	25	1	3
261	4	3	4	5	4	5	3	2	4	5	3	1	5	4	5	3	4	2	1	5	2	27	1	3
262	5	5	4	5	4	5	3	5	4	5	3	5	5	3	5	5	5	4	5	3	1	26	1	3
263	5	5	4	4	4	5	4	4	4	5	4	2	5	4	4	4	5	4	3	4	1	22	1	3
264	5	4	2	4	3	5	2	5	3	4	4	3	3	3	5	2	5	3	4	2	2	25	1	3
265	3	3	3	5	4	3	2	3	4	5	3	5	4	3	4	4	5	3	5	2	2	24	1	3
266	4	5	4	4	4	4	4	3	4	4	5	4	4	3	5	4	4	3	4	4	2	23	1	3
267	3	3	4	5	5	3	4	4	5	4	5	5	3	4	3	2	4	3	5	4	1	22	1	3
268	4	5	4	3	4	5	4	5	3	2	5	1	4	4	5	5	5	4	1	3	1	25	1	3
269	5	3	4	3	3	5	4	3	3	4	5	2	5	4	3	4	4	3	4	4	1	19	1	2
270	4	3	5	4	2	3	4	2	3	4	5	3	4	-99	4	3	4	2	4	5	2	24	1	3
271	5	5	3	5	3	5	2	5	3	4	5	2	5	3	5	5	5	2	5	5	1	28	1	3
272	3	5	4	5	4	4	1	3	3	4	4	4	4	4	2	3	4	4	5	3	2	26	20	3
273	2	3	4	4	4	5	3	5	4	3	4	2	3	3	4	3	5	3	4	4	2	22	1	3
274	3	3	4	4	4	4	4	4	4	2	5	2	3	3	4	2	4	4	1	4	2	24	1	3
275	5	5	5	5	5	5	5	5	4	5	5	2	4	5	5	5	5	5	5	5	1	49	1	1
276	3	4	4	2	3	3	4	2	3	4	5	2	3	4	5	2	4	3	4	4	2	20	1	3
277	5	4	4	4	4	5	4	4	3	3	5	3	4	3	4	5	4	2	5	3	2	28	1	3
278	5	5	4	5	4	5	2	3	3	5	3	5	5	3	5	5	5	3	1	4	2	21	1	3
279	5	4	3	3	2	2	3	5	2	4	4	3	3	4	5	5	5	2	1	2	2	32	15	3
280	5	5	4	5	4	4	4	5	4	2	5	3	4	4	5	4	4	3	5	4	1	26	1	3
281	3	5	4	3	4	4	3	4	4	4	3	4	3	4	5	3	5	4	1	2	2	24	1	3
282	3	5	1	4	1	4	1	4	2	4	3	2	4	3	4	4	4	3	4	3	2	24	1	3
283	2	4	3	4	4	3	3	4	4	4	4	4	4	3	4	3	3	3	4	3	1	19	1	3
284	4	4	4	5	5	4	3	5	5	3	5	2	5	5	5	3	5	5	3	4	2	22	1	3
285	4	4	2	3	3	4	2	4	2	3	3	2	3	2	3	3	4	2	5	2	1	26	1	3
286	3	3	3	5	3	3	2	3	4	4	4	5	4	4	5	4	4	4	5	2	1	33	1	3
287	4	5	3	5	3	5	3	5	3	4	3	3	4	3	4	4	5	3	4	4	1	25	1	3
288	3	3	3	5	3	3	3	3	2	5	3	5	5	3	3	5	4	3	4	3	1	21	22	3
289	4	5	4	4	4	4	4	5	4	4	4	1	4	3	5	4	4	3	5	4	2	28	1	3
290	5	4	4	5	4	5	3	5	4	4	5	3	4	3	5	5	5	4	4	3	1	22	1	3
291	4	5	4	4	4	5	4	5	4	5	4	4	5	4	5	5	5	5	5	4	2	25	1	3
292	2	4	2	4	3	3	1	5	3	3	3	2	2	4	4	3	5	4	2	2	1	22	1	3
293	4	5	4	5	4	5	4	4	4	5	5	2	4	4	5	3	5	4	4	4	1	22	1	3
294	1	3	4	5	4	1	5	2	4	5	5	5	3	4	5	1	3	3	5	5	2	21	1	3
295	3	5	4	4	3	4	4	4	3	3	5	2	4	3	5	3	5	3	3	2	2	24	1	3
